state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
OK,2024-001,Native American / American Indian,Third-Party Candidate,19,126,0.15079365079365079
SC,2024-001,"Native American / American Indian, White",Donald J. Trump,19,31,0.6129032258064516
TX,2024-001,"Hispanic or Latino, White",Donald J. Trump,19,31,0.6129032258064516
WA,2024-001,"Other, White",Donald J. Trump,19,32,0.59375
WI,2024-001,White,Donald J. Trump,19,44,0.4318181818181818
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino",Third-Party Candidate,18,222,0.08108108108108109
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian, White",Third-Party Candidate,18,96,0.1875
0_ALL_STATES,2024-001,"Hispanic or Latino, Other",Third-Party Candidate,18,129,0.13953488372093023
0_ALL_STATES,2024-001,"Native American / American Indian, Other, White",Wouldn't vote,18,142,0.1267605633802817
0_ALL_STATES,2024-001,Native Hawaiian or Pacific Islander,Don't know,18,197,0.09137055837563451
AZ,2024-001,Other,Don't know,18,265,0.06792452830188679
CA,2024-001,"Black or African American, Hispanic or Latino",Joe Biden,18,54,0.3333333333333333
